,0,1,2,3,4,5
0,wcd_3-ce-nest-pas_diabologum_mp3_320_755154/1996 - #3 (Ce n'est pas perdu pour tout le monde)/10 - blank generation.mp3,Diabologum,blank generation,225.75,https://www.youtube.com/watch?v=79R8kEneWLs,
1,"wcd_9-symphonien_berliner-philharmoni_flac_lossless_1451038/Karajan - Beethoven The Symphonies_flac/33 No. 8 in F major, Op. 93 - 4. Allegro vivace.flac",Berliner Philharmoniker,"No. 8 in F major, Op. 93 - 4. Allegro vivace",438.0,,
2,wcd_a-fool-in-love_ike--tina-turner_flac_lossless_865680/Ike & Tina Turner - A Fool In Love [1996]/09-Too Hot To Hold.flac,Ike & Tina Turner,Too Hot To Hold,128.97,https://www.youtube.com/watch?v=BPGgp7TI6tk,
3,wcd_3rd_reizen_flac_lossless_29935878/Reizen - 3rd (2012) [FLAC] {PSFD-202}/04 - Matsurowanu shiro.flac,Reizen,Matsurowanu shiro,737.0,,
4,wcd_2013-10-26---termina_the-black-crowes_flac_lossless_31152221/bc 2013-10-26 new york/tbc131026d2_05_Twice_As_Hard.flac,The Black Crowes,Twice As Hard,286.67,,
5,wcd_25-live_morrissey_flac_lossless_31135922/Morrissey.25.Live.FLAC/17. Everyday Is Like Sunday.flac,Morrissey,Everyday Is Like Sunday,247.37,https://www.youtube.com/watch?v=bf6Xwb03jTE,
6,wcd_4-season-story-spri_jang-hye-jin-_flac_lossless_1149831/4 Season Story/03 - 이연(異緣).flac,Jang Hye Jin (장혜진),이연(異緣),272.78,https://www.youtube.com/watch?v=iXpVUZ36Oxo,
7,"wcd_2013-08-16---peach-f_the-allman-brothers-_flac_lossless_31016578/The Allman Brothers Band - 2013-08-16 Scranton, PA, US [FLAC]/302-One Way Out.flac",The Allman Brothers Band,One Way Out,348.88,,
8,wcd_-proxima-e_manu-chao_flac_lossless_28980386/Manu Chao - 2001 - ...Próxima Estación... Esperanza/06 - Me Gustas Tu.flac,Manu Chao,Me Gustas Tu,239.99,https://www.youtube.com/watch?v=rs6Y4kZ8qtw,
9,wcd_2020_trip-lee_mp3_320_29858572/Trip Lee - 2020 - MP3-320/Trip Lee - 2020 - 08 - Relief.mp3,Trip Lee,Relief,258.45,https://www.youtube.com/watch?v=DG75suLRqoo,
10,"wcd_20041005---the-ora_colonel-claypools-b_flac_lossless_29654618/(2004) 10-05 - The Orange Peel, Asheville, NC/C2B3_2004_10_05_t11_Music_For_The_Elephant_Man.flac",Colonel Claypool's Bucket of Bernie Brains,Music For The Elephant Man,348.81,,
11,"wcd_2013-10-04---electri_moe_mp3_256_31085485/moe. - 2013-10-04 - Electric Factory, Philadelphia, PA (256 mp3)/15. Deep This Time.mp3",moe.,Deep This Time,319.48,,
12,wcd_001-transmissions-fr_nephthys_flac_lossless_30712439/Nephthys - 001 Transmissions from KEF-2013 [Decrypted 15.2.2013] (2013) [FLAC]/11 Tx_11_Fallout -Session 1-.flac,Nephthys,Tx_11_Fallout [Session 1],405.39,,
13,"wcd_2006-02-02-harrah3_sound-tribe-sector-9_mp3_320_31889030/Sound Tribe Sector 9 2006-02-02 Harrahs Voodoo Lounge, N. Kansas City, MO (320)/07 Inspire Strikes Back.mp3",Sound Tribe Sector 9,Inspire Strikes Back,507.66,,
14,wcd_11ta-stock-sound_kurdo_mp3_v0-vbr_31449523/Kurdo-11ta_Stock_Sound-DE-2014-passed/01-kurdo-ich_bin_ghetto.mp3,Kurdo,ich bin ghetto,177.14,https://www.youtube.com/watch?v=gTHMUuUZFLw,
15,"wcd_2009-10-10---bjcc-ar_widespread-panic_flac_lossless_30826058/WSP2009-10-10 Birmingham, AL [FLAC]/wsp091010d2_05_Good_People.flac",Widespread Panic,Good People,155.45,,
16,wcd_1950-2008_rob-guest_flac_lossless_31313278/Rob Guest 1950-2008/08 - Memory (Cats).flac,Rob Guest,Memory (Cats),257.83,,
17,wcd_52hertz_the-verse-_flac_lossless_31154021/The Verse - 2013 - 52Hertz/02 - Only love can.flac,The Verse (陈绮贞/钟成虎/陈建骐),Only love can,197.67,https://www.youtube.com/watch?v=Xa4_ekpK8nw,
18,wcd_10-years-of-finger-l_2-inda-bush_flac_lossless_1216880/Various Artists - 10 Years Of Finger Lickin' [Unmixed] (3CD) [2008]/201-soul of man - on the turntable we have...(original mix).flac,2 Inda Bush,On The Turntable We Have...(Original Mix),28.56,,
19,wcd_12_iosys-_flac_lossless_1656669/IOSYS - ごっすんリミックス　アイン [FLAC]/05. 魔理沙は大変なものを盗んでいきました - Drive nails into her! -.flac,IOSYS (イオシス),魔理沙は大変なものを盗んでいきました - Drive nails into her! -,350.69,,
20,wcd_2008-11-21-san-francisco--ca_govt-m_flac_lossless_29898964/gm 2008-11-21/D1_06_Rocking Horse.flac,Gov't Mule,Rocking Horse,520.57,,
21,"wcd_2012-04-27-umbowl-chicago-il_umphrey-39_flac_24bit-lossless_30027809/2012-04-27 Chicago, IL/um120427d4_06_REW.flac",Umphrey's McGee,REW,349.64,,
22,"wcd_2008-11-01---rose-ga_metallica_flac_lossless_500279/Metallica - 2008-11-01 Portland, OR/met081101d1_01_That_Was_Just_Your_Life.flac",Metallica,That Was Just Your Life,416.36,,
23,wcd_13-satellites_brandon-schott_flac_lossless_31761732/Brandon Schott - 13 Satellites - 2011 (WEB FLAC)/12. My Love Won't Let Me Down.flac,Brandon Schott,My Love Won't Let Me Down,165.87,,
24,wcd_1072_-_flac_lossless_31665730/Виртуозы Москвы - Джаз в смокингах (2010) [FLAC]/11 - Вечерняя музычка - Eiene Kleine Nachtmusik.flac,Виртуозы Москвы,Track11,228.97,,
25,wcd_a-universe_trivalent_flac_lossless_31907967/Trivalent - A Universe FLAC/Trivalent - A Universe - 07 Galaxy Formation.flac,Trivalent,Galaxy Formation,254.26,,
26,wcd_5-4-3-2-1_manfreds_flac_lossless_31504524/manfreds - 5-4-3-2-1 (1998) (flac)/07. The Manfreds - Ha Ha Said The Clown.flac,Manfreds,Ha Ha Said The Clown,148.17,https://www.youtube.com/watch?v=6eMcEwpT03U,
